setpoint,position,motor control input,current
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.059102
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.044453
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.039570
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.015156
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.020039
0.000000,0.000000,0.000000,0.034688
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.024922
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.029805
0.000000,0.000000,0.000000,0.020039
30.000000,0.000000,-0.660000,0.034688
30.000000,0.000000,-0.660000,-2.265117
30.000000,0.000000,-0.660000,-0.741680
30.000000,0.000000,-0.660000,-1.557109
30.000000,0.000000,-0.660000,-1.361797
30.000000,1.000000,-0.640000,-1.308086
30.000000,2.000000,-0.620000,-1.410625
30.000000,3.000000,-0.600000,-1.264141
30.000000,3.000000,-0.600000,-1.005352
30.000000,5.000000,-0.560000,-1.015117
30.000000,6.000000,-0.540000,-0.604961
30.000000,7.000000,-0.520000,-0.609844
30.000000,7.000000,-0.520000,-0.463359
30.000000,8.000000,-0.500000,-0.517070
30.000000,9.000000,-0.480000,-0.409648
30.000000,10.000000,-0.460000,-0.360820
30.000000,11.000000,-0.440000,-0.336406
30.000000,12.000000,-0.420000,-0.292461
30.000000,13.000000,-0.400000,-0.272930
30.000000,14.000000,-0.380000,-0.248516
30.000000,14.000000,-0.380000,-0.224102
30.000000,15.000000,-0.360000,-0.311992
30.000000,16.000000,-0.340000,-0.204570
30.000000,17.000000,-0.320000,-0.204570
30.000000,17.000000,-0.320000,-0.170391
30.000000,18.000000,-0.300000,-0.243633
30.000000,19.000000,-0.280000,-0.170391
30.000000,19.000000,-0.280000,-0.150859
30.000000,19.000000,-0.280000,-0.248516
