pot angle,encoder angle,ax,ay,az
1.000000,1.656977,-1.056000,0.048400,0.162800
1.000000,1.656977,-1.058200,0.072600,0.110000
1.000000,1.656977,-1.069200,0.081400,0.033000
1.000000,1.656977,-1.062600,0.072600,0.002200
1.000000,1.656977,-1.062600,0.046200,-0.035200
1.000000,1.656977,-1.082400,0.008800,-0.085800
1.000000,1.656977,-1.069200,-0.024200,-0.050600
1.000000,1.656977,-1.069200,-0.059400,-0.039600
1.000000,1.656977,-1.058200,-0.074800,0.013200
2.000000,1.656977,-1.064800,-0.074800,0.055000
1.000000,1.656977,-1.051600,-0.059400,0.116600
2.000000,1.656977,-1.058200,-0.026400,0.145200
