pot angle, encoder angle, ax,ay,az
-87.000000,-90.000000,0.019800,0.070400,1.080200
-87.000000,-90.000000,0.002200,0.070400,1.100000
-88.000000,-90.000000,0.011000,0.068200,1.078000
-87.000000,-90.000000,0.024200,0.070400,1.106600
-88.000000,-90.000000,0.013200,0.074800,1.111000
-87.000000,-90.000000,0.017600,0.055000,1.064800
-88.000000,-90.000000,0.022000,0.070400,1.111000
-87.000000,-90.000000,0.015400,0.074800,1.093400
-88.000000,-90.000000,0.002200,0.070400,1.067000
-88.000000,-90.000000,0.000000,0.068200,1.073600
-87.000000,-90.000000,0.004400,0.068200,1.082400
-87.000000,-90.000000,0.011000,0.068200,1.080200
-88.000000,-90.000000,0.011000,0.061600,1.089000
-87.000000,-90.000000,0.011000,0.061600,1.095600
-88.000000,-90.000000,0.019800,0.070400,1.084600                                
-87.000000,-90.000000,0.017600,0.072600,1.091200                                
-88.000000,-90.000000,0.015400,0.068200,1.095600                                
-87.000000,-90.000000,0.008800,0.061600,1.086800                                
-88.000000,-90.000000,0.006600,0.074800,1.091200                                
-88.000000,-90.000000,-0.002200,0.066000,1.080200                               
-88.000000,-90.000000,0.006600,0.059400,1.073600                                
-88.000000,-89.912796,0.024200,0.081400,1.104400                                
-88.000000,-89.738373,-0.028600,0.107800,1.346400                               
-87.000000,-89.302330,-0.015400,0.165000,1.724800                               
-88.000000,-88.866280,0.026400,0.092400,1.977800                                
-86.000000,-88.255814,0.101200,0.033000,1.885400                                
-86.000000,-87.558144,0.204600,0.099000,1.566400                                
-85.000000,-86.773262,0.330000,0.057200,1.372800                                
-84.000000,-85.901169,0.330000,0.136400,1.432200                                
-83.000000,-84.941864,0.217800,0.158400,1.544400                                
-83.000000,-83.982559,0.116600,0.211200,1.595000                                
-81.000000,-82.936050,0.055000,0.143000,1.474000                                
-80.000000,-81.889542,0.013200,0.059400,1.126400                                
-79.000000,-80.843025,-0.081400,0.079200,0.904200                               
-78.000000,-79.709305,-0.189200,-0.008800,0.917400                              
-77.000000,-78.575584,-0.257400,-0.046200,0.902000                              
-75.000000,-77.354652,-0.290400,-0.052800,0.814000                              
-74.000000,-76.220932,-0.187000,0.090200,0.913000                               
