pot angle, encoder angle, ax,ay,az
1.000000,0.436047,-1.104400,0.079200,-0.079200                                  
1.000000,0.436047,-1.049400,0.066000,0.039600                                   
1.000000,0.436047,-1.137400,0.063800,-0.068200                                  
0.000000,0.436047,-1.012000,0.017600,0.180400                                   
1.000000,0.436047,-1.095600,-0.019800,0.112200                                  
0.000000,0.436047,-0.976800,-0.044000,0.330000                                  
1.000000,0.436047,-1.075800,-0.079200,0.233200                                  
1.000000,0.436047,-1.012000,-0.066000,0.323400                                  
1.000000,0.436047,-1.051600,-0.044000,0.277200                                  
1.000000,0.436047,-1.038400,-0.006600,0.239800                                  
1.000000,0.436047,-1.051600,0.037400,0.187000                                   
1.000000,0.436047,-1.067000,0.063800,0.101200                                   
1.000000,0.436047,-1.062600,0.070400,0.070400                                   
1.000000,0.436047,-1.078000,0.068200,0.006600                                   
1.000000,0.436047,-1.075800,0.055000,0.006600                                   
1.000000,0.436047,-1.080200,0.017600,-0.011000 
